job_position,company_name,job_location,job_link,job_posting_date
Manufacturing Manager,Striker Crushing & Screening,"Henderson, NV",https://www.linkedin.com/jobs/view/manufacturing-manager-at-striker-crushing-screening-4069331968?position=1&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=i76zgV0Yu8PDQziJfJvlLQ%3D%3D,2024-11-07
Quality Operations Manager - Aerospace,TRIGO Aerospace Defense & Rail,"Las Vegas, NV",https://www.linkedin.com/jobs/view/quality-operations-manager-aerospace-at-trigo-aerospace-defense-rail-4065121677?position=2&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=0du9%2Fg4EWZ9mCKzdjAkmwQ%3D%3D,2024-11-05
Autonomous vehicle operations supervisor,TSMG Holding,"Las Vegas, NV",https://www.linkedin.com/jobs/view/autonomous-vehicle-operations-supervisor-at-tsmg-holding-3848296835?position=3&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=nDDwISNUihn0yx3LmJTFlw%3D%3D,2024-03-11
Production Control Analyst,Allegiant,"Las Vegas, NV",https://www.linkedin.com/jobs/view/production-control-analyst-at-allegiant-4083513751?position=4&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=F%2B%2FwhXIBsYzsLiK3gSivGQ%3D%3D,2024-11-11
Chief Manufacturing Officer (CMO),ProCaps Laboratories,"Henderson, NV",https://www.linkedin.com/jobs/view/chief-manufacturing-officer-cmo-at-procaps-laboratories-4000723174?position=5&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=0ormS6FC4tOOP9EFJB4cUQ%3D%3D,2024-12-24
Packer - 3rd Shift,Our Home,"Las Vegas, NV",https://www.linkedin.com/jobs/view/packer-3rd-shift-at-our-home-4102118613?position=6&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=NBc7ZCyKQ%2FCN%2BS9QJxxJWw%3D%3D,2024-12-16
Production Supervisor,Our Home,"Las Vegas, NV",https://www.linkedin.com/jobs/view/production-supervisor-at-our-home-4071691783?position=7&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=4m4PDWeBfDFCTa0%2FCW0Byw%3D%3D,2024-11-07
Production Supervisor - Manufacturing,H&H Enterprises,"Las Vegas, NV",https://www.linkedin.com/jobs/view/production-supervisor-manufacturing-at-h-h-enterprises-4065949224?position=8&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=Z1A8MIb4VbE6b3amhdorLA%3D%3D,2024-11-06
General Manager - ADI NA Operations,Alexander Dennis,"Las Vegas, NV",https://www.linkedin.com/jobs/view/general-manager-adi-na-operations-at-alexander-dennis-4092428650?position=9&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=a2CewXVmywsmJ%2B3HPPABQA%3D%3D,2024-11-11
Production Supervisor,"PeepTek Solutions, Inc.","North Las Vegas, NV",https://www.linkedin.com/jobs/view/production-supervisor-at-peeptek-solutions-inc-4059544865?position=10&pageNum=0&refId=lRCcKKX2ytDW1x4Yo56bjQ%3D%3D&trackingId=opm4HKorLd0R%2F1cDTjFVvQ%3D%3D,2024-10-26
